marca,modelo,Año,Precio,Color,Combustible,Rendimiento,Transmisión,Cantidad,Motor,agencia_id,estado_agencia,municipio_agencia,tipo_vehiculo,descripcion,array_fotografias,grupo_automotriz_id,grupo_automotriz,gerente_id
Lamborghini,Tundra,2016,"$20,058",White,Gasolina,188,Automático,9,2.7L V6,100017,Nayarit,Tepic,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,739128,Subaru,840716
Dodge,4Runner,2013,"$29,109",Silver,Gasolina,925,Automático,8,4.0L V6,100018,Nuevo León,Monterrey,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,285401,BMW,579142
Lexus,Stinger,2021,"$78,716",Black,Gasolina,398,Manual,4,1.3L I4,100019,Oaxaca,Oaxaca de Juárez,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,941702,Lexus,314295
Aston Martin,A7,2011,"$67,925",Blue,Eléctrico,768,Manual,1,2.6L I4,100020,Puebla,Puebla,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,568314,Fiat,674081
Tesla,Atlas,2006,"$30,876",Green,Gasolina,673,Manual,10,3.7L V6,100021,Querétaro,Santiago de Querétaro,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,395216,Hyundai,819354
Cadillac,Sienna,2017,"$94,834",Gray,Eléctrico,956,Manual,7,1.7L I4,100022,Quintana Roo,Othón P. Blanco,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,918275,Jaguar,506291
Buick,Focus,2013,"$12,634",Yellow,Gasolina,117,Manual,3,2.1L I4,100023,San Luis Potosí,San Luis Potosí,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,620143,Tesla,246835
Infiniti,C-HR,2019,"$58,625",Brown,Eléctrico,637,Manual,6,2.9L V6,100024,Sinaloa,Culiacán,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,897604,Chevrolet,981623
GMC,Altima,2022,"$67,710",Orange,Eléctrico,540,Manual,2,1.2L I4,100025,Sonora,Hermosillo,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,151278,Audi,732568
Rolls-Royce,Q3,2003,"$31,122",Red,Gasolina,858,Manual,8,2.5L I4,100026,Tabasco,Centro,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,789032,Dodge,135907
Land Rover,Blazer,2020,"$60,315",White,Eléctrico,120,Automático,4,3.1L V6,100027,Tamaulipas,Victoria,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,346219,Subaru,840716
Jaguar,RAV4,2011,"$69,677",Silver,Gasolina,440,Manual,1,1.8L I3,100028,Tlaxcala,Tlaxcala de Xicohténcatl,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,632518,BMW,579142
Subaru,S5,2016,"$6,742",Black,Eléctrico,278,Automático,10,2.2L V6,100029,Veracruz,Xalapa,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,478936,Lexus,314295
Chrysler,Corolla,2002,"$36,582",Blue,Eléctrico,564,Manual,7,3.9L V6,100030,Yucatán,Mérida,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,843602,Fiat,674081
Mitsubishi,Pacifica,2018,"$24,809",Green,Gasolina,996,Automático,3,1.4L I3,100031,Zacatecas, Zacatecas,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,170983,Hyundai,819354
Maserati,Equinox,2010,"$50,515",Gray,Eléctrico,201,Automático,6,2.3L V6,100032,Ciudad de México,Cuauhtémoc,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,734921,Jaguar,506291
Alfa Romeo,K900,2012,"$47,891",Yellow,Gasolina,391,Manual,9,4.1L V6,100001,Aguascalientes,Aguascalientes,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,483925,Tesla,246835
Bentley,Expedition,2005,"$8,500",Brown,Gasolina,326,Manual,8,1.5L I3,100002,Baja California,Mexicali,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,739102,Chevrolet,981623
Peugeot,Sonata,2009,"$22,587",Orange,Gasolina,211,Manual,4,2.6L V6,100003,Baja California Sur,La Paz,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,287651,Audi,732568
Renault,Civic,2023,"$98,329",Purple,Eléctrico,824,Manual,1,3.3L V6,100004,Campeche,Campeche,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,921473,Dodge,135907
Citroen,Traverse,2001,"$63,825",Gold,Gasolina,757,Manual,7,1.0L I2,100005,Chiapas,Tuxtla Gutiérrez,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,564218,Subaru,840716
Opel,S60,2015,"$29,058",Beige,Eléctrico,315,Manual,3,2.4L V6,100006,Chihuahua,Chihuahua,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,387102,BMW,579142
Seat,Mustang,2014,"$26,459",Turquoise,Gasolina,710,Manual,6,3.8L V6,100007,Coahuila,Saltillo,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,913276,Lexus,314295
Skoda,X7,2008,"$63,066",Pink,Eléctrico,538,Manual,2,1.6L I3,100008,Colima,Colima,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,625491,Fiat,674081
Fiat,Edge,2006,"$80,145",Red,Eléctrico,477,Automático,8,2.7L I4,100009,Durango,Durango,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,891635,Hyundai,819354
Smart,Enclave,2012,"$92,124",White,Gasolina,842,Automático,4,4.2L V6,100010,Guanajuato,Guanajuato,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,154830,Jaguar,506291
Mini,Grand Cherokee,2019,"$10,212",Silver,Eléctrico,972,Automático,1,1.9L I3,100011,Guerrero,Chilpancingo de los Bravo,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,792361,Tesla,246835
Lotus,Optima,2017,"$51,173",Black,Gasolina,283,Automático,10,2.8L I4,100012,Hidalgo, Pachuca de Soto,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,340725,Chevrolet,981623
Lada,CX-5,2016,"$70,024",Blue,Eléctrico,184,Manual,7,3.4L V6,100013,Jalisco,Guadalajara,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,628914,Audi,732568
Dacia,Bolt EV,2015,"$79,618",Green,Eléctrico,596,Automático,3,1.1L I4,100014,México,Toluca,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,471069,Dodge,135907
Saab,Explorer,2018,"$20,011",Gray,Gasolina,779,Manual,6,2.1L V6,100015,Michoacán, Morelia,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,840527,Subaru,840716
Suzuki,Encore,2014,"$75,869",Yellow,Eléctrico,441,Manual,9,4.3L V6,100016,Morelos,Cuernavaca,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,172935,BMW,579142
Tata,Telluride,2004,"$73,499",Brown,Gasolina,181,Manual,8,1.7L I3,100017,Nayarit,Tepic,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,739128,Lexus,314295
Geely,Tucson,2022,"$74,249",Orange,Gasolina,846,Manual,4,2.9L I4,100018,Nuevo León,Monterrey,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,285401,Fiat,674081
BYD,Tiguan,2000,"$19,706",Red,Gasolina,665,Manual,1,3.5L V8,100019,Oaxaca,Oaxaca de Juárez,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,941702,Hyundai,819354
Changan,Odyssey,2007,"$11,085",White,Eléctrico,981,Automático,7,1.2L I3,100020,Puebla,Puebla,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,568314,Jaguar,506291
Haval,CT6,2001,"$39,880",Silver,Gasolina,508,Manual,3,2.2L I6,100021,Querétaro,Santiago de Querétaro,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,395216,Tesla,246835
JAC,E-Class,2011,"$63,859",Black,Eléctrico,935,Automático,6,4.0L V8,100022,Quintana Roo,Othón P. Blanco,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,918275,Chevrolet,981623
FAW,Tiguan Limited,2010,"$47,295",Blue,Gasolina,722,Automático,2,1.4L I2,100023,San Luis Potosí,San Luis Potosí,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,620143,Audi,732568
Zotye,F-150,2009,"$10,123",Green,Eléctrico,903,Automático,8,2.3L I6,100024,Sinaloa,Culiacán,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,897604,Dodge,135907
Great Wall,QX60,2008,"$49,179",Gray,Gasolina,359,Automático,4,4.1L V8,100025,Sonora,Hermosillo,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,151278,Subaru,840716
BAIC,G70,2018,"$14,784",Yellow,Eléctrico,719,Automático,1,1.5L I2,100026,Tabasco,Centro,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,789032,BMW,579142
Brilliance,RX 350,2023,"$92,791",Brown,Gasolina,376,Manual,10,2.6L I6,100027,Tamaulipas,Victoria,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,346219,Lexus,314295
GAC,Forte,2017,"$43,142",Orange,Eléctrico,523,Manual,7,3.3L V8,100028,Tlaxcala,Tlaxcala de Xicohténcatl,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,632518,Fiat,674081
Dongfeng,Outback,2016,"$29,077",Purple,Eléctrico,815,Automático,3,1.0L I1,100029,Veracruz,Xalapa,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,478936,Hyundai,819354
JMC,Escape,2003,"$37,638",Gold,Gasolina,938,Manual,6,2.4L I6,100030,Yucatán,Mérida,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,843602,Jaguar,506291
Lifan,Acadia,2013,"$51,750",Beige,Eléctrico,726,Manual,9,3.8L V8,100031,Zacatecas, Zacatecas,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,170983,Tesla,246835
MG,1500 Classic,2014,"$23,283",Turquoise,Gasolina,217,Manual,8,1.6L I2,100032,Ciudad de México,Cuauhtémoc,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,734921,Chevrolet,981623
Proton,Arteon,2006,"$17,501",Pink,Gasolina,628,Manual,4,2.7L I6,100001,Aguascalientes,Aguascalientes,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,483925,Audi,732568
Perodua,GLE-Class,2021,"$78,284",Red,Gasolina,479,Manual,1,4.2L V8,100002,Baja California,Mexicali,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,739102,Dodge,135907
SsangYong,Bolt EUV,2002,"$27,897",White,Eléctrico,762,Automático,7,1.9L I2,100003,Baja California Sur,La Paz,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,287651,Subaru,840716
Mahindra,XC90,2000,"$70,429",Silver,Gasolina,335,Automático,3,2.8L I6,100004,Campeche,Campeche,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,921473,BMW,579142
Isuzu,ES 350,2020,"$34,670",Black,Eléctrico,872,Automático,6,3.4L V8,100005,Chiapas,Tuxtla Gutiérrez,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,564218,Lexus,314295
Hino,Durango,2012,"$55,978",Blue,Gasolina,684,Automático,2,1.1L I3,100006,Chihuahua,Chihuahua,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,387102,Fiat,674081
Scania,Pathfinder,2015,"$47,506",Green,Eléctrico,585,Automático,8,2.1L I6,100007,Coahuila,Saltillo,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,913276,Hyundai,819354
MAN,Passat,2004,"$23,967",Gray,Eléctrico,147,Manual,4,4.3L V8,100008,Colima,Colima,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,625491,Jaguar,506291
Volvo Trucks,Compass,2007,"$50,390",Yellow,Gasolina,598,Manual,1,1.7L I2,100009,Durango,Durango,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,891635,Tesla,246835
Mack Trucks,Terrain,2019,"$32,855",Brown,Eléctrico,944,Manual,10,2.9L I6,100010,Guanajuato,Guanajuato,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,154830,Chevrolet,981623
Peterbilt,Santa Fe,2011,"$26,456",Orange,Gasolina,431,Manual,7,3.5L V12,100011,Guerrero,Chilpancingo de los Bravo,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,792361,Audi,732568
Kenworth,Renegade,2013,"$94,438",Red,Eléctrico,180,Automático,3,1.2L I2,100012,Hidalgo, Pachuca de Soto,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,340725,Dodge,135907
Freightliner,QX80,2018,"$17,648",White,Eléctrico,278,Manual,6,2.2L I8,100013,Jalisco,Guadalajara,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,628914,Subaru,840716
International,Terrain,2009,"$78,225",Silver,Gasolina,927,Manual,9,4.0L V12,100014,México,Toluca,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,471069,BMW,579142
Western Star,Sorento,2014,"$13,232",Black,Eléctrico,225,Manual,8,1.4L I1,100015,Michoacán, Morelia,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,840527,Lexus,314295
Iveco,RDX,2016,"$22,383",Blue,Gasolina,363,Automático,4,2.3L I8,100016,Morelos,Cuernavaca,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,172935,Fiat,674081
Renault Trucks,Yukon,2022,"$29,974",Green,Gasolina,844,Manual,1,4.1L V12,100017,Nayarit,Tepic,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,739128,Hyundai,819354
DAF,Encore GX,2010,"$31,478",Gray,Gasolina,437,Manual,7,1.5L I1,100018,Nuevo León,Monterrey,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,285401,Jaguar,506291
Tatra,RAV4 Hybrid,2005,"$85,573",Yellow,Eléctrico,212,Manual,3,2.6L I8,100019,Oaxaca,Oaxaca de Juárez,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,941702,Tesla,246835
ZIL,GLC-Class,2021,"$17,319",Brown,Gasolina,763,Manual,6,3.3L V12,100020,Puebla,Puebla,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,568314,Chevrolet,981623
Kamaz,NX 300,2001,"$45,662",Orange,Eléctrico,277,Automático,2,1.0L I0,100021,Querétaro,Santiago de Querétaro,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,395216,Audi,732568
UAZ,CR-V,2003,"$98,527",Purple,Gasolina,365,Manual,8,2.4L I8,100022,Quintana Roo,Othón P. Blanco,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,918275,Dodge,135907
VAZ,X3,2020,"$61,547",Gold,Eléctrico,828,Manual,4,3.8L V12,100023,San Luis Potosí,San Luis Potosí,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,620143,Subaru,840716
Moskvich,Kona,2000,"$20,296",Beige,Eléctrico,726,Manual,1,1.6L I1,100024,Sinaloa,Culiacán,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,897604,BMW,579142
Trabant,Atlas Cross Sport,2008,"$61,559",Turquoise,Gasolina,938,Manual,10,2.7L I8,100025,Sonora,Hermosillo,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,151278,Lexus,314295
Wartburg,Explorer ST,2017,"$16,492",Pink,Eléctrico,192,Manual,7,4.2L V12,100026,Tabasco,Centro,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,789032,Fiat,674081
